project_id,role,employee_id,semantic_score,skill_overlap,availability_pct,experience_years,final_score,eligible
P001,DevOps,E008,0.431,0.2,80,6,0.4608,True
P001,DevOps,E060,0.4784,0.2,60,9,0.4076,True
P001,DevOps,E021,0.4947,0.0,60,4,0.3963,True
P001,DevOps,E015,0.6196,0.0,100,1,0.0,False
P001,DevOps,E012,0.4622,0.2,80,3,0.0,False
P001,DevOps,E001,0.5216,0.0,60,1,0.0,False
P001,DevOps,E014,0.4338,0.0,100,1,0.0,False
P001,DevOps,E011,0.527,0.0,80,1,0.0,False
P001,DevOps,E032,0.6079,0.4,80,2,0.0,False
P001,DevOps,E047,0.6726,0.6,50,8,0.0,False
P001,DevOps,E045,0.5402,0.2,80,2,0.0,False
P001,DevOps,E034,0.5815,0.0,80,2,0.0,False
P001,DevOps,E033,0.5633,0.4,80,1,0.0,False
P001,DevOps,E035,0.7906,0.4,50,12,0.0,False
P001,DevOps,E037,0.4288,0.0,100,3,0.0,False
P001,DevOps,E038,0.5706,0.2,100,2,0.0,False
P001,DevOps,E040,0.6909,0.6,60,1,0.0,False
P001,DevOps,E027,0.7062,0.4,50,4,0.0,False
P001,DevOps,E017,0.6003,0.4,40,7,0.0,False
P001,DevOps,E054,0.5872,0.2,80,2,0.0,False
P001,DevOps,E053,0.5862,0.0,50,9,0.0,False
P001,DevOps,E069,0.6025,0.4,40,10,0.0,False
P001,DevOps,E065,0.5653,0.2,80,2,0.0,False
P001,DevOps,E076,0.5966,0.2,100,3,0.0,False
P001,DevOps,E077,0.6449,0.4,80,3,0.0,False
P001,Backend Dev,E066,0.8265,0.6,100,10,0.8558,True
P001,Backend Dev,E075,0.8098,0.6,100,9,0.8396,True
P001,Backend Dev,E061,0.8154,0.6,100,8,0.8389,True
P001,Backend Dev,E041,0.775,0.8,100,9,0.8153,True
P001,Backend Dev,E048,0.7832,0.4,100,5,0.8028,True
P001,Backend Dev,E052,0.755,0.8,100,4,0.7785,True
P001,Backend Dev,E009,0.6774,0.0,100,8,0.7424,True
P001,Backend Dev,E070,0.8211,0.6,80,7,0.7384,True
P001,Backend Dev,E029,0.6891,0.0,100,5,0.7369,True
P001,Backend Dev,E025,0.6737,0.0,100,6,0.7307,True
P001,Backend Dev,E055,0.7956,0.6,80,8,0.7251,True
P001,Backend Dev,E079,0.805,0.4,80,6,0.7226,True
P001,Backend Dev,E007,0.7916,0.4,80,7,0.7178,True
P001,Backend Dev,E058,0.6619,0.6,100,4,0.7133,True
P001,Backend Dev,E072,0.7861,0.4,80,4,0.7003,True
P001,Backend Dev,E044,0.6418,0.4,100,4,0.6993,True
P001,Backend Dev,E064,0.6264,0.4,100,5,0.693,True
P001,Backend Dev,E074,0.7384,0.6,80,8,0.6851,True
P001,Backend Dev,E031,0.596,0.4,100,5,0.6718,True
P001,Backend Dev,E020,0.7144,0.4,80,8,0.6683,True
P001,Backend Dev,E030,0.565,0.2,100,8,0.6637,True
P001,Backend Dev,E042,0.7099,0.0,80,7,0.6605,True
P001,Backend Dev,E043,0.6963,0.2,80,9,0.6601,True
P001,Backend Dev,E073,0.6977,0.6,80,8,0.6566,True
P001,Backend Dev,E050,0.5389,0.2,100,10,0.6545,True
P001,Backend Dev,E062,0.6542,0.4,80,12,0.6443,True
P001,Backend Dev,E004,0.6742,0.4,80,4,0.6219,True
P001,Backend Dev,E078,0.8024,0.4,60,6,0.6208,True
P001,Backend Dev,E071,0.6585,0.2,80,6,0.62,True
P001,Backend Dev,E026,0.6453,0.0,80,8,0.6199,True
P001,Backend Dev,E016,0.6238,0.4,80,11,0.6185,True
P001,Backend Dev,E023,0.8108,0.4,60,4,0.6176,True
P001,Backend Dev,E024,0.6429,0.4,80,7,0.6136,True
P001,Backend Dev,E056,0.6353,0.4,80,8,0.6129,True
P001,Backend Dev,E028,0.6085,0.2,80,10,0.6032,True
P001,Backend Dev,E049,0.7508,0.6,60,10,0.6029,True
P001,Backend Dev,E019,0.6271,0.2,80,5,0.5935,True
P001,Backend Dev,E036,0.6023,0.2,80,6,0.5807,True
P001,Backend Dev,E010,0.5889,0.4,80,8,0.5804,True
P001,Backend Dev,E013,0.4389,0.2,100,8,0.5754,True
P001,Backend Dev,E018,0.7016,0.6,60,9,0.5638,True
P001,Backend Dev,E003,0.7168,0.4,60,6,0.5608,True
P001,Backend Dev,E039,0.7199,0.6,60,5,0.5585,True
P001,Backend Dev,E067,0.7051,0.2,60,7,0.5572,True
P001,Backend Dev,E057,0.7016,0.4,60,7,0.5548,True
P001,Backend Dev,E046,0.7177,0.6,60,4,0.5524,True
P001,Backend Dev,E059,0.7099,0.4,60,5,0.5515,True
P001,Backend Dev,E006,0.6638,0.4,60,12,0.551,True
P001,Backend Dev,E068,0.5431,0.2,80,7,0.5438,True
P001,Backend Dev,E002,0.6659,0.2,60,10,0.5434,True
P001,Backend Dev,E063,0.6932,0.2,60,5,0.5398,True
P001,Backend Dev,E005,0.5417,0.2,80,5,0.5337,True
P001,Backend Dev,E080,0.5279,0.4,80,6,0.5286,True
P001,Backend Dev,E022,0.6435,0.0,60,7,0.5141,True
P001,Backend Dev,E051,0.5099,0.0,80,4,0.5069,True
P001,Backend Dev,E008,0.4389,0.2,80,6,0.4663,True
P001,Backend Dev,E060,0.5329,0.2,60,9,0.4458,True
P001,Backend Dev,E021,0.5354,0.0,60,4,0.4247,True
P001,Backend Dev,E015,0.7017,0.0,100,1,0.0,False
P001,Backend Dev,E012,0.4452,0.2,80,3,0.0,False
P001,Backend Dev,E001,0.6114,0.0,60,1,0.0,False
P001,Backend Dev,E014,0.488,0.0,100,1,0.0,False
P001,Backend Dev,E011,0.6143,0.0,80,1,0.0,False
P001,Backend Dev,E032,0.5924,0.4,80,2,0.0,False
P001,Backend Dev,E047,0.6481,0.6,50,8,0.0,False
P001,Backend Dev,E045,0.5264,0.2,80,2,0.0,False
P001,Backend Dev,E034,0.6653,0.0,80,2,0.0,False
P001,Backend Dev,E033,0.6627,0.4,80,1,0.0,False
P001,Backend Dev,E035,0.7002,0.4,50,12,0.0,False
P001,Backend Dev,E037,0.485,0.0,100,3,0.0,False
P001,Backend Dev,E038,0.5539,0.2,100,2,0.0,False
P001,Backend Dev,E040,0.7843,0.6,60,1,0.0,False
P001,Backend Dev,E027,0.8164,0.4,50,4,0.0,False
P001,Backend Dev,E017,0.5985,0.4,40,7,0.0,False
P001,Backend Dev,E054,0.5568,0.2,80,2,0.0,False
P001,Backend Dev,E053,0.6285,0.0,50,9,0.0,False
P001,Backend Dev,E069,0.6056,0.4,40,10,0.0,False
P001,Backend Dev,E065,0.5574,0.2,80,2,0.0,False
P001,Backend Dev,E076,0.6599,0.2,100,3,0.0,False
P001,Backend Dev,E077,0.6354,0.4,80,3,0.0,False
P001,Data Engineer,E058,0.8111,0.6,100,4,0.8178,True
P001,Data Engineer,E064,0.7831,0.4,100,5,0.8027,True
P001,Data Engineer,E044,0.7617,0.4,100,4,0.7832,True
P001,Data Engineer,E031,0.7039,0.4,100,5,0.7473,True
P001,Data Engineer,E030,0.6766,0.2,100,8,0.7418,True
P001,Data Engineer,E050,0.6396,0.2,100,10,0.725,True
P001,Data Engineer,E041,0.6443,0.8,100,9,0.7237,True
P001,Data Engineer,E056,0.7911,0.4,80,8,0.722,True
P001,Data Engineer,E075,0.6397,0.6,100,9,0.7205,True
P001,Data Engineer,E066,0.632,0.6,100,10,0.7197,True
P001,Data Engineer,E016,0.7413,0.4,80,11,0.7007,True
P001,Data Engineer,E062,0.7308,0.4,80,12,0.6979,True
P001,Data Engineer,E052,0.6363,0.8,100,4,0.6954,True
P001,Data Engineer,E024,0.7572,0.4,80,7,0.6936,True
P001,Data Engineer,E061,0.5949,0.6,100,8,0.6846,True
P001,Data Engineer,E048,0.5919,0.4,100,5,0.6689,True
P001,Data Engineer,E028,0.6841,0.2,80,10,0.6561,True
P001,Data Engineer,E010,0.6959,0.4,80,8,0.6553,True
P001,Data Engineer,E006,0.8094,0.4,60,12,0.6529,True
P001,Data Engineer,E013,0.5312,0.2,100,8,0.64,True
P001,Data Engineer,E039,0.8242,0.6,60,5,0.6315,True
P001,Data Engineer,E018,0.7867,0.6,60,9,0.6234,True
P001,Data Engineer,E029,0.5057,0.0,100,5,0.6085,True
P001,Data Engineer,E070,0.6345,0.6,80,7,0.6078,True
P001,Data Engineer,E005,0.6428,0.2,80,5,0.6045,True
P001,Data Engineer,E074,0.6196,0.6,80,8,0.6019,True
P001,Data Engineer,E009,0.4738,0.0,100,8,0.5998,True
P001,Data Engineer,E025,0.4862,0.0,100,6,0.5994,True
P001,Data Engineer,E043,0.5821,0.2,80,9,0.5802,True
P001,Data Engineer,E073,0.5815,0.6,80,8,0.5752,True
P001,Data Engineer,E079,0.5908,0.4,80,6,0.5727,True
P001,Data Engineer,E055,0.5711,0.6,80,8,0.568,True
P001,Data Engineer,E080,0.582,0.4,80,6,0.5665,True
P001,Data Engineer,E007,0.5715,0.4,80,7,0.5637,True
P001,Data Engineer,E072,0.5854,0.4,80,4,0.5598,True
P001,Data Engineer,E071,0.5709,0.2,80,6,0.5587,True
P001,Data Engineer,E004,0.5551,0.4,80,4,0.5385,True
P001,Data Engineer,E020,0.5287,0.4,80,8,0.5382,True
P001,Data Engineer,E042,0.5316,0.0,80,7,0.5358,True
P001,Data Engineer,E049,0.653,0.6,60,10,0.5344,True
P001,Data Engineer,E036,0.5108,0.2,80,6,0.5166,True
P001,Data Engineer,E019,0.5105,0.2,80,5,0.5119,True
P001,Data Engineer,E008,0.4978,0.2,80,6,0.5075,True
P001,Data Engineer,E026,0.4756,0.0,80,8,0.5011,True
P001,Data Engineer,E057,0.5944,0.4,60,7,0.4797,True
P001,Data Engineer,E078,0.5908,0.4,60,6,0.4726,True
P001,Data Engineer,E059,0.5952,0.4,60,5,0.4712,True
P001,Data Engineer,E002,0.5603,0.2,60,10,0.4695,True
P001,Data Engineer,E067,0.5781,0.2,60,7,0.4683,True
P001,Data Engineer,E068,0.4321,0.2,80,7,0.4661,True
P001,Data Engineer,E063,0.5874,0.2,60,5,0.4657,True
P001,Data Engineer,E023,0.592,0.4,60,4,0.4644,True
P001,Data Engineer,E046,0.5796,0.6,60,4,0.4557,True
P001,Data Engineer,E021,0.5564,0.0,60,4,0.4395,True
P001,Data Engineer,E022,0.5345,0.0,60,7,0.4378,True
P001,Data Engineer,E051,0.4052,0.0,80,4,0.4337,True
P001,Data Engineer,E003,0.5333,0.4,60,6,0.4324,True
P001,Data Engineer,E060,0.4237,0.2,60,9,0.3693,True
P001,Data Engineer,E015,0.5136,0.0,100,1,0.0,False
P001,Data Engineer,E012,0.5455,0.2,80,3,0.0,False
P001,Data Engineer,E001,0.4999,0.0,60,1,0.0,False
P001,Data Engineer,E014,0.4002,0.0,100,1,0.0,False
P001,Data Engineer,E011,0.443,0.0,80,1,0.0,False
P001,Data Engineer,E032,0.7212,0.4,80,2,0.0,False
P001,Data Engineer,E047,0.7977,0.6,50,8,0.0,False
P001,Data Engineer,E045,0.634,0.2,80,2,0.0,False
P001,Data Engineer,E034,0.5212,0.0,80,2,0.0,False
P001,Data Engineer,E033,0.519,0.4,80,1,0.0,False
P001,Data Engineer,E035,0.5895,0.4,50,12,0.0,False
P001,Data Engineer,E037,0.408,0.0,100,3,0.0,False
P001,Data Engineer,E038,0.6674,0.2,100,2,0.0,False
P001,Data Engineer,E040,0.6177,0.6,60,1,0.0,False
P001,Data Engineer,E027,0.6121,0.4,50,4,0.0,False
P001,Data Engineer,E017,0.694,0.4,40,7,0.0,False
P001,Data Engineer,E054,0.6775,0.2,80,2,0.0,False
P001,Data Engineer,E053,0.5437,0.0,50,9,0.0,False
P001,Data Engineer,E069,0.6727,0.4,40,10,0.0,False
P001,Data Engineer,E065,0.6517,0.2,80,2,0.0,False
P001,Data Engineer,E076,0.5589,0.2,100,3,0.0,False
P001,Data Engineer,E077,0.779,0.4,80,3,0.0,False
P002,Backend Dev,E075,0.8482,0.6,100,9,0.8707,True
P002,Backend Dev,E066,0.8383,0.6,100,10,0.8676,True
P002,Backend Dev,E061,0.822,0.6,100,8,0.8485,True
P002,Backend Dev,E048,0.837,0.4,100,5,0.8474,True
P002,Backend Dev,E029,0.7553,0.2,100,5,0.7903,True
P002,Backend Dev,E009,0.7317,0.2,100,8,0.7853,True
P002,Backend Dev,E070,0.8519,0.6,80,7,0.7655,True
P002,Backend Dev,E025,0.7057,0.0,100,6,0.7594,True
P002,Backend Dev,E007,0.8255,0.4,80,7,0.7471,True
P002,Backend Dev,E076,0.7025,0.2,100,3,0.7456,True
P002,Backend Dev,E079,0.8257,0.4,80,6,0.7434,True
P002,Backend Dev,E055,0.8037,0.6,80,8,0.7357,True
P002,Backend Dev,E044,0.6643,0.6,100,4,0.7227,True
P002,Backend Dev,E037,0.6649,0.6,100,3,0.7193,True
P002,Backend Dev,E020,0.7766,0.4,80,8,0.7167,True
P002,Backend Dev,E058,0.653,0.6,100,4,0.7148,True
P002,Backend Dev,E064,0.6456,0.6,100,5,0.7135,True
P002,Backend Dev,E072,0.7876,0.4,80,4,0.709,True
P002,Backend Dev,E050,0.6005,0.4,100,10,0.7012,True
P002,Backend Dev,E042,0.7501,0.2,80,7,0.6943,True
P002,Backend Dev,E026,0.7383,0.2,80,8,0.6899,True
P002,Backend Dev,E062,0.6933,0.6,80,12,0.6738,True
P002,Backend Dev,E031,0.5875,0.4,100,5,0.6728,True
P002,Backend Dev,E030,0.5676,0.2,100,8,0.6704,True
P002,Backend Dev,E052,0.5846,0.2,100,4,0.6669,True
P002,Backend Dev,E041,0.5527,0.2,100,9,0.6638,True
P002,Backend Dev,E034,0.7312,0.2,80,2,0.6619,True
P002,Backend Dev,E068,0.701,0.8,80,7,0.6599,True
P002,Backend Dev,E043,0.6877,0.0,80,9,0.6583,True
P002,Backend Dev,E016,0.6715,0.6,80,11,0.6547,True
P002,Backend Dev,E038,0.5721,0.2,100,2,0.6505,True
P002,Backend Dev,E071,0.6898,0.2,80,6,0.6483,True
P002,Backend Dev,E024,0.6824,0.6,80,7,0.6469,True
P002,Backend Dev,E077,0.6978,0.6,80,3,0.6423,True
P002,Backend Dev,E078,0.8212,0.4,60,6,0.6402,True
P002,Backend Dev,E023,0.8309,0.4,60,4,0.6393,True
P002,Backend Dev,E019,0.6773,0.2,80,5,0.6357,True
P002,Backend Dev,E056,0.6593,0.6,80,8,0.6346,True
P002,Backend Dev,E036,0.6609,0.2,80,6,0.628,True
P002,Backend Dev,E028,0.6384,0.4,80,10,0.6277,True
P002,Backend Dev,E051,0.6591,0.4,80,4,0.6191,True
P002,Backend Dev,E003,0.7675,0.4,60,6,0.6027,True
P002,Backend Dev,E074,0.596,0.2,80,8,0.5903,True
P002,Backend Dev,E065,0.6156,0.4,80,2,0.5809,True
P002,Backend Dev,E013,0.4361,0.2,100,8,0.5784,True
P002,Backend Dev,E006,0.6962,0.6,60,12,0.5758,True
P002,Backend Dev,E022,0.7205,0.2,60,7,0.5736,True
P002,Backend Dev,E067,0.7203,0.2,60,7,0.5735,True
P002,Backend Dev,E080,0.5794,0.6,80,6,0.571,True
P002,Backend Dev,E054,0.5983,0.4,80,2,0.5688,True
P002,Backend Dev,E060,0.7003,0.8,60,9,0.5671,True
P002,Backend Dev,E002,0.6845,0.0,60,10,0.5599,True
P002,Backend Dev,E010,0.5519,0.2,80,8,0.5594,True
P002,Backend Dev,E073,0.5504,0.0,80,8,0.5584,True
P002,Backend Dev,E032,0.5814,0.4,80,2,0.557,True
P002,Backend Dev,E059,0.7075,0.2,60,5,0.5568,True
P002,Backend Dev,E018,0.681,0.6,60,9,0.5536,True
P002,Backend Dev,E063,0.6909,0.0,60,5,0.5451,True
P002,Backend Dev,E039,0.6835,0.6,60,5,0.54,True
P002,Backend Dev,E004,0.545,0.0,80,4,0.5392,True
P002,Backend Dev,E005,0.5263,0.2,80,5,0.5299,True
P002,Backend Dev,E049,0.6257,0.2,60,10,0.5187,True
P002,Backend Dev,E008,0.5031,0.4,80,6,0.5176,True
P002,Backend Dev,E045,0.5217,0.2,80,2,0.5152,True
P002,Backend Dev,E057,0.5719,0.0,60,7,0.4696,True
P002,Backend Dev,E012,0.4398,0.2,80,3,0.4617,True
P002,Backend Dev,E046,0.5692,0.2,60,4,0.4561,True
P002,Backend Dev,E021,0.5373,0.0,60,4,0.4338,True
P002,Backend Dev,E015,0.7355,0.0,100,1,0.0,False
P002,Backend Dev,E014,0.6547,0.4,100,1,0.0,False
P002,Backend Dev,E011,0.6706,0.2,80,1,0.0,False
P002,Backend Dev,E001,0.6599,0.0,60,1,0.0,False
P002,Backend Dev,E047,0.6449,0.6,50,8,0.0,False
P002,Backend Dev,E033,0.728,0.4,80,1,0.0,False
P002,Backend Dev,E035,0.5758,0.0,50,12,0.0,False
P002,Backend Dev,E040,0.8001,0.6,60,1,0.0,False
P002,Backend Dev,E017,0.6304,0.6,40,7,0.0,False
P002,Backend Dev,E027,0.8545,0.4,50,4,0.0,False
P002,Backend Dev,E053,0.6871,0.0,50,9,0.0,False
P002,Backend Dev,E069,0.578,0.2,40,10,0.0,False
P002,Android Dev,E037,0.8241,0.6,100,3,0.8307,True
P002,Android Dev,E068,0.8398,0.8,80,7,0.7571,True
P002,Android Dev,E066,0.6377,0.6,100,10,0.7271,True
P002,Android Dev,E075,0.6406,0.6,100,9,0.7253,True
P002,Android Dev,E051,0.8041,0.4,80,4,0.7206,True
P002,Android Dev,E048,0.6317,0.4,100,5,0.7037,True
P002,Android Dev,E061,0.6071,0.6,100,8,0.6981,True
P002,Android Dev,E060,0.8366,0.8,60,9,0.6626,True
P002,Android Dev,E029,0.5688,0.2,100,5,0.6597,True
P002,Android Dev,E009,0.5486,0.2,100,8,0.6571,True
P002,Android Dev,E044,0.5701,0.6,100,4,0.6568,True
P002,Android Dev,E064,0.5509,0.6,100,5,0.6472,True
P002,Android Dev,E076,0.5603,0.2,100,3,0.6461,True
P002,Android Dev,E058,0.5522,0.6,100,4,0.6443,True
P002,Android Dev,E050,0.5182,0.4,100,10,0.6435,True
P002,Android Dev,E030,0.5207,0.2,100,8,0.6376,True
P002,Android Dev,E031,0.5325,0.4,100,5,0.6343,True
P002,Android Dev,E025,0.5212,0.0,100,6,0.6302,True
P002,Android Dev,E038,0.5259,0.2,100,2,0.6181,True
P002,Android Dev,E070,0.6387,0.6,80,7,0.6164,True
P002,Android Dev,E062,0.5927,0.6,80,12,0.6033,True
P002,Android Dev,E007,0.6123,0.4,80,7,0.5978,True
P002,Android Dev,E079,0.6156,0.4,80,6,0.5963,True
P002,Android Dev,E055,0.5942,0.6,80,8,0.589,True
P002,Android Dev,E077,0.6183,0.6,80,3,0.5866,True
P002,Android Dev,E016,0.5673,0.6,80,11,0.5818,True
P002,Android Dev,E020,0.5809,0.4,80,8,0.5797,True
P002,Android Dev,E024,0.5822,0.6,80,7,0.5768,True
P002,Android Dev,E028,0.5611,0.4,80,10,0.5736,True
P002,Android Dev,E043,0.5628,0.0,80,9,0.5709,True
P002,Android Dev,E056,0.5642,0.6,80,8,0.568,True
P002,Android Dev,E026,0.5597,0.2,80,8,0.5649,True
P002,Android Dev,E052,0.4385,0.2,100,4,0.5647,True
P002,Android Dev,E042,0.5633,0.2,80,7,0.5635,True
P002,Android Dev,E013,0.4139,0.2,100,8,0.5628,True
P002,Android Dev,E071,0.5671,0.2,80,6,0.5623,True
P002,Android Dev,E041,0.4039,0.2,100,9,0.5597,True
P002,Android Dev,E072,0.5723,0.4,80,4,0.5583,True
P002,Android Dev,E036,0.544,0.2,80,6,0.5462,True
P002,Android Dev,E019,0.5488,0.2,80,5,0.5457,True
P002,Android Dev,E034,0.55,0.2,80,2,0.535,True
P002,Android Dev,E010,0.5093,0.2,80,8,0.5296,True
P002,Android Dev,E065,0.5384,0.4,80,2,0.5269,True
P002,Android Dev,E032,0.5373,0.4,80,2,0.5261,True
P002,Android Dev,E054,0.5246,0.4,80,2,0.5172,True
P002,Android Dev,E080,0.4998,0.6,80,6,0.5152,True
P002,Android Dev,E006,0.6049,0.6,60,12,0.5119,True
P002,Android Dev,E005,0.4842,0.2,80,5,0.5005,True
P002,Android Dev,E078,0.6098,0.4,60,6,0.4922,True
P002,Android Dev,E045,0.4887,0.2,80,2,0.4921,True
P002,Android Dev,E023,0.6196,0.4,60,4,0.4914,True
P002,Android Dev,E022,0.6023,0.2,60,7,0.4908,True
P002,Android Dev,E074,0.4485,0.2,80,8,0.487,True
P002,Android Dev,E067,0.5917,0.2,60,7,0.4834,True
P002,Android Dev,E018,0.5772,0.6,60,9,0.481,True
P002,Android Dev,E002,0.5639,0.0,60,10,0.4755,True
P002,Android Dev,E008,0.4363,0.4,80,6,0.4708,True
P002,Android Dev,E073,0.4244,0.0,80,8,0.4702,True
P002,Android Dev,E059,0.5779,0.2,60,5,0.4661,True
P002,Android Dev,E039,0.5767,0.6,60,5,0.4653,True
P002,Android Dev,E003,0.5698,0.4,60,6,0.4642,True
P002,Android Dev,E063,0.5683,0.0,60,5,0.4593,True
P002,Android Dev,E004,0.4159,0.0,80,4,0.4488,True
P002,Android Dev,E012,0.411,0.2,80,3,0.4416,True
P002,Android Dev,E049,0.4838,0.2,60,10,0.4194,True
P002,Android Dev,E021,0.4775,0.0,60,4,0.3919,True
P002,Android Dev,E057,0.4378,0.0,60,7,0.3757,True
P002,Android Dev,E046,0.4249,0.2,60,4,0.3551,True
P002,Android Dev,E015,0.5589,0.0,100,1,0.0,False
P002,Android Dev,E014,0.8108,0.4,100,1,0.0,False
P002,Android Dev,E011,0.4876,0.2,80,1,0.0,False
P002,Android Dev,E001,0.5135,0.0,60,1,0.0,False
P002,Android Dev,E047,0.5459,0.6,50,8,0.0,False
P002,Android Dev,E033,0.5401,0.4,80,1,0.0,False
P002,Android Dev,E035,0.4457,0.0,50,12,0.0,False
P002,Android Dev,E040,0.5984,0.6,60,1,0.0,False
P002,Android Dev,E017,0.5615,0.6,40,7,0.0,False
P002,Android Dev,E027,0.6472,0.4,50,4,0.0,False
P002,Android Dev,E053,0.5698,0.0,50,9,0.0,False
P002,Android Dev,E069,0.5293,0.2,40,10,0.0,False
P002,Data Engineer,E064,0.7944,0.6,100,5,0.8176,True
P002,Data Engineer,E058,0.7916,0.6,100,4,0.8118,True
P002,Data Engineer,E044,0.7678,0.6,100,4,0.7952,True
P002,Data Engineer,E050,0.6816,0.4,100,10,0.7579,True
P002,Data Engineer,E056,0.8083,0.6,80,8,0.7389,True
P002,Data Engineer,E030,0.6637,0.2,100,8,0.7377,True
P002,Data Engineer,E031,0.6794,0.4,100,5,0.7371,True
P002,Data Engineer,E077,0.8246,0.6,80,3,0.7311,True
P002,Data Engineer,E016,0.7711,0.6,80,11,0.7244,True
P002,Data Engineer,E038,0.6744,0.2,100,2,0.7221,True
P002,Data Engineer,E075,0.6292,0.6,100,9,0.7174,True
P002,Data Engineer,E024,0.7829,0.6,80,7,0.7172,True
P002,Data Engineer,E062,0.7442,0.6,80,12,0.7094,True
P002,Data Engineer,E066,0.5949,0.6,100,10,0.6972,True
P002,Data Engineer,E048,0.5935,0.4,100,5,0.677,True
P002,Data Engineer,E028,0.6996,0.4,80,10,0.6705,True
P002,Data Engineer,E006,0.829,0.6,60,12,0.6688,True
P002,Data Engineer,E037,0.5768,0.6,100,3,0.6576,True
P002,Data Engineer,E061,0.5435,0.6,100,8,0.6535,True
P002,Data Engineer,E054,0.7065,0.4,80,2,0.6445,True
P002,Data Engineer,E013,0.5244,0.2,100,8,0.6401,True
P002,Data Engineer,E065,0.6996,0.4,80,2,0.6397,True
P002,Data Engineer,E076,0.5511,0.2,100,3,0.6396,True
P002,Data Engineer,E032,0.6985,0.4,80,2,0.639,True
P002,Data Engineer,E029,0.5228,0.2,100,5,0.6275,True
P002,Data Engineer,E010,0.6462,0.2,80,8,0.6254,True
P002,Data Engineer,E009,0.4794,0.2,100,8,0.6086,True
P002,Data Engineer,E039,0.7679,0.6,60,5,0.5991,True
P002,Data Engineer,E070,0.6136,0.6,80,7,0.5987,True
P002,Data Engineer,E025,0.4734,0.0,100,6,0.5968,True
P002,Data Engineer,E018,0.7394,0.6,60,9,0.5945,True
P002,Data Engineer,E005,0.6183,0.2,80,5,0.5944,True
P002,Data Engineer,E080,0.6112,0.6,80,6,0.5932,True
